time,TP9,AF7,AF8,TP10
1691552243880.75,-39.0625,-29.78515625,-27.34375,-45.41015625
1691552243927.625,-17.578125,-41.50390625,-24.90234375,-5.859375
1691552243974.5,-34.1796875,-40.0390625,-36.1328125,-33.203125
1691552244021.375,-19.04296875,-39.55078125,-27.34375,-21.97265625
1691552244068.25,-21.484375,-12.20703125,-19.04296875,-31.25
1691552244115.125,-30.2734375,-21.97265625,-31.73828125,-39.0625
1691552244162,-44.921875,-47.36328125,-26.85546875,-20.01953125
1691552244208.875,-24.90234375,-41.9921875,-24.90234375,-23.92578125
1691552244255.75,-27.34375,-34.66796875,-34.1796875,-24.4140625
1691552244302.625,-33.203125,-43.45703125,-24.90234375,-45.8984375
1691552244349.5,-36.62109375,-22.94921875,-37.109375,-46.38671875
1691552244396.375,-34.66796875,-38.57421875,-21.97265625,-35.64453125
1691552244443.25,-42.96875,-37.109375,-31.25,-36.1328125
1691552244490.125,-34.1796875,-33.203125,-31.73828125,-41.50390625
1691552244537,-15.625,-16.11328125,-35.15625,-44.921875
1691552244583.875,-52.734375,-29.78515625,-35.64453125,-36.62109375
1691552244630.75,-50.29296875,-12.6953125,-32.71484375,-60.546875
1691552244677.625,-40.52734375,-20.5078125,-42.48046875,-55.6640625
1691552244724.5,-29.296875,-23.92578125,-45.8984375,-40.52734375
1691552244771.375,-36.1328125,-29.296875,-35.64453125,-45.41015625
1691552244818.25,-24.90234375,-28.3203125,-48.828125,-40.52734375
1691552244865.125,-64.453125,-40.0390625,-34.66796875,-55.17578125
1691552244912,-26.85546875,-41.50390625,-31.73828125,-39.55078125
1691552244958.875,-49.31640625,-36.1328125,-23.92578125,-22.4609375
1691552245005.75,-41.50390625,-41.9921875,-41.50390625,-45.41015625
1691552245052.625,-42.96875,-29.78515625,-36.62109375,-37.109375
1691552245099.5,-54.6875,-37.109375,-23.92578125,-24.90234375
1691552245146.375,-28.3203125,-28.3203125,-26.3671875,-39.0625
1691552245193.25,-33.69140625,-23.92578125,-28.80859375,-33.203125
1691552245240.125,-42.96875,-46.38671875,-25.390625,-34.1796875
1691552245287,-64.94140625,-35.64453125,-28.3203125,-44.921875
1691552245333.875,-45.41015625,-38.0859375,-43.45703125,-54.6875
1691552245380.75,-49.8046875,-41.50390625,-24.4140625,-49.8046875
1691552245427.625,-21.97265625,-29.296875,-24.4140625,-31.25
1691552245474.5,-36.62109375,-44.43359375,-35.15625,-40.52734375
1691552245521.375,-33.69140625,-47.36328125,-22.4609375,-34.1796875
1691552245568.25,-27.34375,-35.64453125,-33.69140625,-39.0625
1691552245615.125,-41.50390625,-52.24609375,-29.296875,-32.2265625
1691552245662,-36.1328125,-37.59765625,-29.78515625,-37.59765625
1691552245708.875,-32.71484375,-40.0390625,-16.6015625,-32.71484375
1691552245755.75,-29.78515625,-34.66796875,-36.62109375,-32.2265625
1691552245802.625,-33.69140625,-43.9453125,-23.4375,-23.92578125
1691552245849.5,-41.9921875,-37.109375,-32.2265625,-44.921875
1691552245896.375,-36.62109375,-30.76171875,-21.97265625,-30.76171875
1691552245943.25,-24.4140625,-26.85546875,-24.4140625,-26.85546875
1691552245990.125,-37.109375,-31.25,-30.76171875,-25.87890625
1691552246037,-12.20703125,-19.04296875,-25.87890625,-24.4140625
1691552246083.875,-42.48046875,-40.0390625,-22.94921875,-29.78515625
1691552246130.75,-29.78515625,-36.1328125,-30.76171875,-26.3671875
1691552246177.625,-41.015625,-42.96875,-23.92578125,-28.80859375
1691552246224.5,-40.0390625,-34.1796875,-29.296875,-40.0390625
1691552246271.375,-32.71484375,-34.66796875,-32.2265625,-48.33984375
1691552246318.25,-30.76171875,-17.08984375,-29.78515625,-28.3203125
1691552246365.125,-15.625,-23.92578125,-31.25,-24.90234375
1691552246412,-37.109375,-11.71875,-21.97265625,-22.94921875
1691552246458.875,-19.53125,-39.0625,-27.34375,-31.25
1691552246505.75,-20.5078125,-23.4375,-37.109375,-35.15625
1691552246552.625,-28.3203125,-43.45703125,-33.203125,-25.87890625
1691552246599.5,-38.57421875,-30.2734375,-32.71484375,-44.43359375
1691552246646.375,-39.0625,-36.1328125,-43.45703125,-36.62109375
1691552246693.25,-38.0859375,-40.52734375,-40.52734375,-44.43359375
1691552246740.125,-35.15625,-36.62109375,-34.1796875,-37.59765625
1691552246787,-42.48046875,-36.62109375,-50.29296875,-46.38671875
1691552246833.875,-46.38671875,-46.875,-38.57421875,-42.48046875
1691552246880.75,-50.29296875,-41.50390625,-36.1328125,-37.109375
1691552246927.625,-41.9921875,-38.57421875,-39.0625,-35.15625
1691552246974.5,-47.36328125,-41.015625,-36.62109375,-44.43359375
1691552247021.375,-38.57421875,-46.875,-47.36328125,-49.31640625
1691552247068.25,-50.29296875,-44.43359375,-41.9921875,-43.9453125
1691552247115.125,-44.43359375,-24.4140625,-36.62109375,-34.66796875
1691552247162,-35.15625,-33.69140625,-42.96875,-34.1796875
1691552247208.875,-43.45703125,-38.0859375,-43.45703125,-42.48046875
1691552247255.75,-25.87890625,-39.0625,-41.9921875,-19.04296875
1691552247302.625,-24.90234375,-37.109375,-31.25,-69.3359375
1691552247349.5,-46.38671875,-54.6875,-43.45703125,-71.77734375
1691552247396.375,-42.96875,-27.83203125,-37.109375,-48.828125
1691552247443.25,-32.2265625,-37.109375,-33.203125,-43.45703125
1691552247490.125,-34.66796875,-30.2734375,-29.296875,-30.76171875
1691552247537,-37.59765625,-32.71484375,-31.25,-30.76171875
1691552247583.875,-47.8515625,-39.55078125,-29.78515625,-23.92578125
1691552247630.75,-57.12890625,-36.62109375,-25.390625,-52.24609375
1691552247677.625,-86.9140625,-15.625,-11.23046875,-92.7734375
1691552247724.5,-66.40625,-36.62109375,-24.90234375,-65.91796875
1691552247771.375,-21.97265625,-59.08203125,-24.90234375,-0.9765625
